"X1","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN","CITY"
4,"wb4r0c",1.23870849609375,126.952514648438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.23870849609375&longitude=126.952514648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
6,"wbf0jt",4.24896240234375,126.809692382812,0.00274658203125,0.0054931640625,4.7,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=4.24896240234375&longitude=126.809692382812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
7,"qzbyxk",-0.23895263671875,125.128784179688,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-0.23895263671875&longitude=125.128784179688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
18,"qy2469",-9.44000244140625,123.865356445312,0.00274658203125,0.0054931640625,4.8,35,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.44000244140625&longitude=123.865356445312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
21,"qxzrhu",-0.15106201171875,122.909545898438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-0.15106201171875&longitude=122.909545898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
29,"qy2469",-9.44000244140625,123.865356445312,0.00274658203125,0.0054931640625,4.8,35,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.44000244140625&longitude=123.865356445312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
35,"qy2469",-9.44000244140625,123.865356445312,0.00274658203125,0.0054931640625,4.8,35,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.44000244140625&longitude=123.865356445312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
37,"wb4r0c",1.23870849609375,126.952514648438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.23870849609375&longitude=126.952514648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
41,"wbdpcy",4.21051025390625,126.644897460938,0.00274658203125,0.0054931640625,4.7,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=4.21051025390625&longitude=126.644897460938&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
46,"qzbyxk",-0.23895263671875,125.128784179688,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-0.23895263671875&longitude=125.128784179688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
52,"wb4r0c",1.23870849609375,126.952514648438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.23870849609375&longitude=126.952514648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
61,"qxthq0",-2.06268310546875,119.800415039062,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-2.06268310546875&longitude=119.800415039062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
70,"wb4r0c",1.23870849609375,126.952514648438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.23870849609375&longitude=126.952514648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
72,"w8p38y",0.29937744140625,122.733764648438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.29937744140625&longitude=122.733764648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
76,"qzbyxk",-0.23895263671875,125.128784179688,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-0.23895263671875&longitude=125.128784179688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
77,"qzbyxk",-0.23895263671875,125.128784179688,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-0.23895263671875&longitude=125.128784179688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
80,"qzbyxk",-0.23895263671875,125.128784179688,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-0.23895263671875&longitude=125.128784179688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
94,"qzbq37",-0.28839111328125,124.161987304688,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-0.28839111328125&longitude=124.161987304688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
96,"qy2469",-9.44000244140625,123.865356445312,0.00274658203125,0.0054931640625,4.8,35,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.44000244140625&longitude=123.865356445312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
99,"qxthq0",-2.06268310546875,119.800415039062,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-2.06268310546875&longitude=119.800415039062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
104,"qzbyxk",-0.23895263671875,125.128784179688,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-0.23895263671875&longitude=125.128784179688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
109,"w8p38y",0.29937744140625,122.733764648438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.29937744140625&longitude=122.733764648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
