"X1" "Hasil_GeoHash" "LATITUDE" "LONGITUDE" "Lat_Error" "Long_Error" "MAG" "KEDALAMAN" "CITY"
4 "wb9609" 3.17230224609375 125.535278320312 0.00274658203125 0.0054931640625 4.4 10 "Kepulauan Sangihe"
6 "qwe1bt" -8.09967041015625 116.746215820312 0.00274658203125 0.0054931640625 3.6 10 "West Nusa Tenggara"
7 "qwe1bt" -8.09967041015625 116.746215820312 0.00274658203125 0.0054931640625 3.6 10 "West Nusa Tenggara"
18 "wb9609" 3.17230224609375 125.535278320312 0.00274658203125 0.0054931640625 4.4 10 "Kepulauan Sangihe"
21 "qyu7hf" -6.49017333984375 129.940795898438 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
29 "qwe1bt" -8.09967041015625 116.746215820312 0.00274658203125 0.0054931640625 3.6 10 "West Nusa Tenggara"
35 "qwe1bt" -8.09967041015625 116.746215820312 0.00274658203125 0.0054931640625 3.6 10 "West Nusa Tenggara"
37 "qwe1bt" -8.09967041015625 116.746215820312 0.00274658203125 0.0054931640625 3.6 10 "West Nusa Tenggara"
41 "qzbwz3" -0.21148681640625 124.777221679688 0.00274658203125 0.0054931640625 4.2 10 "North Sulawesi"
43 "qzbwz3" -0.21148681640625 124.777221679688 0.00274658203125 0.0054931640625 4.2 10 "North Sulawesi"
46 "qyu7hf" -6.49017333984375 129.940795898438 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
52 "rp2vcg" -3.18878173828125 136.137084960938 0.00274658203125 0.0054931640625 4.7 10 "Nabire"
61 "qxzh4b" -0.70037841796875 122.470092773438 0.00274658203125 0.0054931640625 4.2 10 "Central Sulawesi"
70 "qyu7hf" -6.49017333984375 129.940795898438 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
72 "qyu7hf" -6.49017333984375 129.940795898438 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
76 "rp2vcg" -3.18878173828125 136.137084960938 0.00274658203125 0.0054931640625 4.7 10 "Nabire"
77 "wb9609" 3.17230224609375 125.535278320312 0.00274658203125 0.0054931640625 4.4 10 "Kepulauan Sangihe"
80 "wb9609" 3.17230224609375 125.535278320312 0.00274658203125 0.0054931640625 4.4 10 "Kepulauan Sangihe"
94 "wb9609" 3.17230224609375 125.535278320312 0.00274658203125 0.0054931640625 4.4 10 "Kepulauan Sangihe"
96 "wb9609" 3.17230224609375 125.535278320312 0.00274658203125 0.0054931640625 4.4 10 "Kepulauan Sangihe"
99 "qzm6wz" -3.73809814453125 131.434936523438 0.00274658203125 0.0054931640625 4.7 10 "Maluku"
104 "wb9609" 3.17230224609375 125.535278320312 0.00274658203125 0.0054931640625 4.4 10 "Kepulauan Sangihe"
109 "qwe1bt" -8.09967041015625 116.746215820312 0.00274658203125 0.0054931640625 3.6 10 "West Nusa Tenggara"
111 "qxzh4b" -0.70037841796875 122.470092773438 0.00274658203125 0.0054931640625 4.2 10 "Central Sulawesi"
121 "qzbwz3" -0.21148681640625 124.777221679688 0.00274658203125 0.0054931640625 4.2 10 "North Sulawesi"
135 "qzbwz3" -0.21148681640625 124.777221679688 0.00274658203125 0.0054931640625 4.2 10 "North Sulawesi"
139 "rp2vcg" -3.18878173828125 136.137084960938 0.00274658203125 0.0054931640625 4.7 10 "Nabire"
150 "qqg86q" -6.95159912109375 106.276245117188 0.00274658203125 0.0054931640625 3.6 10 "Lebak"
162 "w03peh" 2.74932861328125 91.5435791015625 0.00274658203125 0.0054931640625 4.2 35 "Indian Ocean"
165 "rp2vcg" -3.18878173828125 136.137084960938 0.00274658203125 0.0054931640625 4.7 10 "Nabire"
172 "qysuhs" -7.70965576171875 130.632934570312 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
173 "qyu7hf" -6.49017333984375 129.940795898438 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
176 "qzm6wz" -3.73809814453125 131.434936523438 0.00274658203125 0.0054931640625 4.7 10 "Maluku"
180 "qyu2xs" -6.91864013671875 130.061645507812 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
183 "qysuhs" -7.70965576171875 130.632934570312 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
185 "qwkdxs" -9.37957763671875 119.163208007812 0.00274658203125 0.0054931640625 3.6 10 "East Nusa Tenggara"
189 "w03peh" 2.74932861328125 91.5435791015625 0.00274658203125 0.0054931640625 4.2 35 "Indian Ocean"
194 "wb9609" 3.17230224609375 125.535278320312 0.00274658203125 0.0054931640625 4.4 10 "Kepulauan Sangihe"
198 "qysuhs" -7.70965576171875 130.632934570312 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
200 "qysuhs" -7.70965576171875 130.632934570312 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
211 "qysuhs" -7.70965576171875 130.632934570312 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
214 "qyu2xs" -6.91864013671875 130.061645507812 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
215 "qyu2xs" -6.91864013671875 130.061645507812 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
218 "qyu7hf" -6.49017333984375 129.940795898438 0.00274658203125 0.0054931640625 4.4 10 "Maluku"
219 "rp2vcg" -3.18878173828125 136.137084960938 0.00274658203125 0.0054931640625 4.7 10 "Nabire"
225 "qr47ku" -5.02899169921875 104.628295898438 0.00274658203125 0.0054931640625 4.3 10 "Lampung"
230 "wb9609" 3.17230224609375 125.535278320312 0.00274658203125 0.0054931640625 4.4 10 "Kepulauan Sangihe"
