"X1","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN","CITY"
4,"w0tn4h",3.89190673828125,97.1246337890625,0.00274658203125,0.0054931640625,4.2,25,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.89190673828125&longitude=97.1246337890625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
6,"wbfmh0",5.10040283203125,127.095336914062,0.00274658203125,0.0054931640625,4.5,35,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=5.10040283203125&longitude=127.095336914062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
7,"wbfmh0",5.10040283203125,127.095336914062,0.00274658203125,0.0054931640625,4.5,35,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=5.10040283203125&longitude=127.095336914062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
18,"qqermr",-7.12188720703125,106.056518554688,0.00274658203125,0.0054931640625,3.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.12188720703125&longitude=106.056518554688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
21,"qppyxd",-4.46868896484375,101.233520507812,0.00274658203125,0.0054931640625,4.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-4.46868896484375&longitude=101.233520507812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
29,"wb4qvn",1.22222900390625,127.139282226562,0.00274658203125,0.0054931640625,4.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.22222900390625&longitude=127.139282226562&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
35,"qqermr",-7.12188720703125,106.056518554688,0.00274658203125,0.0054931640625,3.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.12188720703125&longitude=106.056518554688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
37,"qzkrfc",-2.84820556640625,129.852905273438,0.00274658203125,0.0054931640625,4.5,35,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-2.84820556640625&longitude=129.852905273438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
41,"w0tn4h",3.89190673828125,97.1246337890625,0.00274658203125,0.0054931640625,4.2,25,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.89190673828125&longitude=97.1246337890625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
43,"qzkrfc",-2.84820556640625,129.852905273438,0.00274658203125,0.0054931640625,4.5,35,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-2.84820556640625&longitude=129.852905273438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
46,"qzkrfc",-2.84820556640625,129.852905273438,0.00274658203125,0.0054931640625,4.5,35,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-2.84820556640625&longitude=129.852905273438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
52,"w0tn4h",3.89190673828125,97.1246337890625,0.00274658203125,0.0054931640625,4.2,25,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.89190673828125&longitude=97.1246337890625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
61,"wb61jj",1.61224365234375,126.787719726562,0.00274658203125,0.0054931640625,4.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.61224365234375&longitude=126.787719726562&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
70,"qppyxd",-4.46868896484375,101.233520507812,0.00274658203125,0.0054931640625,4.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-4.46868896484375&longitude=101.233520507812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
