"X1","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN","CITY"
4,"qyu6e7",-6.572570801,129.8748779,0.002746582,0.005493164,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.572570801&longitude=129.8748779&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
6,"qyu21e",-7.012023926,129.7979736,0.002746582,0.005493164,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.012023926&longitude=129.7979736&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
7,"qyu6e7",-6.572570801,129.8748779,0.002746582,0.005493164,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.572570801&longitude=129.8748779&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
18,"w0dnw6",3.968811035,93.09265137,0.002746582,0.005493164,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.968811035&longitude=93.09265137&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
20,"qr82vj",-2.65045166,101.8267822,0.002746582,0.005493164,4.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-2.65045166&longitude=101.8267822&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
21,"qwd1b1",-8.121643066,115.3179932,0.002746582,0.005493164,3.9,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-8.121643066&longitude=115.3179932&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
29,"qyu6e7",-6.572570801,129.8748779,0.002746582,0.005493164,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.572570801&longitude=129.8748779&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
35,"qw27hq",-9.280700684,113.0438232,0.002746582,0.005493164,3.9,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.280700684&longitude=113.0438232&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
37,"qwd1b1",-8.121643066,115.3179932,0.002746582,0.005493164,3.9,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-8.121643066&longitude=115.3179932&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
41,"qysj0z",-7.51739502,129.4134521,0.002746582,0.005493164,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.51739502&longitude=129.4134521&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
43,"qw27hq",-9.280700684,113.0438232,0.002746582,0.005493164,3.9,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.280700684&longitude=113.0438232&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
46,"qwd1b1",-8.121643066,115.3179932,0.002746582,0.005493164,3.9,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-8.121643066&longitude=115.3179932&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
52,"wb4j37",0.942077637,126.6229248,0.002746582,0.005493164,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.942077637&longitude=126.6229248&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
61,"qyu21e",-7.012023926,129.7979736,0.002746582,0.005493164,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.012023926&longitude=129.7979736&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
70,"qyu21e",-7.012023926,129.7979736,0.002746582,0.005493164,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.012023926&longitude=129.7979736&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
